#,PROGRAM,SITE NAME,HOURS OF OPERATION,ADDRESS,CITY,STATE,ZIP,PHONE,seniors_x_coordinates,seniors_y_coordinates,hospital_name,hosp_x_coordinates,hosp_y_coordinates,distance_from_hospital,Parking name
1,Regional Senior Center,Bronzeville Senior Center,"Mon - Fri 8:30 a.m. to 4:30 p.m. Sat 9:00 a.m. to 4:00 p.m.",3427 S. King Drive,Chicago,IL,60616,312-555-0101,-87.61523,41.83142,UChicago Medicine Main Campus,-87.6062,41.7897,2.84,On Site Parking
2,Regional Senior Center,Hyde Park Community Center,"Mon - Fri 9:00 a.m. to 5:00 p.m.",5480 S. Cornell Avenue,Chicago,IL,60615,312-555-0102,-87.58941,41.79823,UChicago Medicine Main Campus,-87.6062,41.7897,1.12,Street Parking
3,Regional Senior Center,Woodlawn Wellness Hub,"Mon - Fri 8:00 a.m. to 4:00 p.m. Sat 9:00 a.m. to 1:00 p.m.",6324 S. Cottage Grove Avenue,Chicago,IL,60637,312-555-0103,-87.60612,41.77934,UChicago Medicine Main Campus,-87.6062,41.7897,0.91,Ogden Park Lot
4,Regional Senior Center,South Shore Activity Center,"Mon - Fri 8:30 a.m. to 4:30 p.m.",2206 E. 75th Street,Chicago,IL,60649,312-555-0104,-87.57234,41.75891,UChicago Medicine South Shore,-87.5659,41.7659,1.48,On Site Parking
5,Regional Senior Center,Englewood Senior Hub,"Mon - Fri 9:00 a.m. to 5:00 p.m. Sat 10:00 a.m. to 2:00 p.m.",641 W. 63rd Street,Chicago,IL,60621,312-555-0105,-87.64021,41.77983,UChicago Medicine Ingalls Harvey,-87.6412,41.6061,12.31,Street Parking
6,Regional Senior Center,Chatham Community Center,"Mon - Fri 8:30 a.m. to 4:30 p.m.",8230 S. Princeton Avenue,Chicago,IL,60620,312-555-0106,-87.63412,41.74521,UChicago Medicine Main Campus,-87.6062,41.7897,3.67,On Site Parking
7,Regional Senior Center,Auburn Gresham Senior Center,"Mon - Fri 9:00 a.m. to 5:00 p.m.",839 W. 79th Street,Chicago,IL,60620,312-555-0107,-87.65123,41.75023,UChicago Medicine Main Campus,-87.6062,41.7897,3.21,Lot B - 80th Street
8,Regional Senior Center,Greater Grand Crossing Hub,"Mon - Fri 8:00 a.m. to 4:00 p.m.",7655 S. Ingleside Avenue,Chicago,IL,60619,312-555-0108,-87.59834,41.75634,UChicago Medicine South Shore,-87.5659,41.7659,0.87,On Site Parking
9,Regional Senior Center,Roseland Activity Center,"Mon - Fri 9:00 a.m. to 5:00 p.m. Sat 9:00 a.m. to 12:00 p.m.",10658 S. Michigan Avenue,Chicago,IL,60628,312-555-0109,-87.62341,41.70234,UChicago Medicine Ingalls Harvey,-87.6412,41.6061,6.12,Street Parking
10,Regional Senior Center,Pullman Senior Center,"Mon - Fri 8:30 a.m. to 4:30 p.m.",11250 S. Cottage Grove Avenue,Chicago,IL,60628,312-555-0110,-87.60523,41.69712,UChicago Medicine Ingalls Harvey,-87.6412,41.6061,5.84,On Site Parking
11,Regional Senior Center,West Englewood Center,"Mon - Fri 9:00 a.m. to 5:00 p.m.",2231 W. 63rd Street,Chicago,IL,60636,312-555-0111,-87.68234,41.77891,UChicago Medicine Main Campus,-87.6062,41.7897,5.23,Street Parking
12,Regional Senior Center,Avalon Park Community Hub,"Mon - Fri 8:00 a.m. to 4:00 p.m.",8140 S. Jeffery Boulevard,Chicago,IL,60617,312-555-0112,-87.57123,41.74523,UChicago Medicine South Shore,-87.5659,41.7659,1.93,On Site Parking
